date_time;uuid;Title/episode_title;seriesTitle;isEpisode;EPGgenre;providerId;providerType;production year;director orig;titleId;title_id provider;episode_number;season_number;domain;master_uuid;source(scheule/enrichment);seriesUUID;alternative title
18/01/21 23:26;e55bfa49-cd92-427a-83af-195a737ff5d1;Non camminerai mai in solitudine;Grey's Anatomy;t;1;;;2020;Debbie Allen,Allison Liddi-Brown,Kevin McKidd,Nicole Rubio;;;4;17;sky;;FINALIZED;7eb208db-9e31-472d-bae3-9a8493b7595f;[[ALT]]Non camminerai mai in solitudine[[ALT]]You'll Never Walk Alone[[ALT]]Non camminerai mai in solitudine
06/06/19 20:36;0ae109f3-b8b1-4f38-a7a9-c17ea9099932;giulia;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251921;datatv;;;;;4;2;sky;;SCHED;;
05/01/21 17:37;0ae109f3-b8b1-4f38-a7a9-c17ea9099932;Giulia;Mollo tutto cambio vita;t;4;;;2018;;;;4;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Giulia[[ALT]]Giulia[[ALT]]Giulia
27/06/19 20:30;178030e2-4092-4137-a105-b49497257e0c;best of. 2a parte;mollo tutto cambio vita - bali;t;4;datatv_p241534e1252330;datatv;;;;;8;2;sky;;SCHED;;
05/01/21 17:38;178030e2-4092-4137-a105-b49497257e0c;Best of. 2a parte;Mollo tutto cambio vita;t;4;;;2018;;;;8;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Best of. 2a parte[[ALT]]Best of. 2a parte[[ALT]]Best of. 2a parte
23/05/19 14:40;29331028-2820-402c-b008-dcebc6e74525;mollo tutto cambio vita - bali s.2 ep.05;mollo tutto cambio vita - bali s.2;t;1;32851103;ibms;2018;T.Martinengo;;;5;2;sky;;SCHED;;
11/06/19 15:52;29331028-2820-402c-b008-dcebc6e74525;riccardo e stefania;mollo tutto cambio vita;t;4;datatv_p241534e1251922;datatv;2018;;32851103;ibms;5;2;sky;;ENRICH;;
17/06/19 21:21;29331028-2820-402c-b008-dcebc6e74525;riccardo e stefania;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251922;datatv;;;;;5;2;sky;;SCHED;;
18/06/19 06:01;29331028-2820-402c-b008-dcebc6e74525;mollo tutto cambio vita - bali s.2 ep.05;mollo tutto cambio vita - bali s.2;t;1;32851103;ibms;2018;T. Martinengo;;;5;2018;sky;;SCHED;;
24/06/19 16:12;29331028-2820-402c-b008-dcebc6e74525;mollo tutto cambio vita - bali ep5;mollo tutto cambio vita - bali s.2;t;1;32851103;ibms;2018;Tiziana Martinengo;;;5;2;sky;;SCHED;;
05/01/21 17:37;29331028-2820-402c-b008-dcebc6e74525;Riccardo e Stefania;Mollo tutto cambio vita;t;4;;;2018;;;;5;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Riccardo e Stefania[[ALT]]Riccardo e Stefania[[ALT]]Riccardo e Stefania
23/05/19 14:44;2ac4f3d5-b901-4243-a3b1-f5141e031651;mollo tutto cambio vita - bali s.2 ep.03;mollo tutto cambio vita - bali s.2;t;1;32851101;ibms;2018;T.Martinengo;;;3;2;sky;;SCHED;;
11/06/19 06:02;2ac4f3d5-b901-4243-a3b1-f5141e031651;mollo tutto cambio vita - bali s.2 ep.03;mollo tutto cambio vita - bali s.2;t;1;32851101;ibms;2018;T. Martinengo;;;3;2018;sky;;SCHED;;
11/06/19 15:38;2ac4f3d5-b901-4243-a3b1-f5141e031651;michela e marcello;mollo tutto cambio vita;t;4;datatv_p241534e1251920;datatv;2018;;32851101;ibms;3;2;sky;;ENRICH;;
12/06/19 19:15;2ac4f3d5-b901-4243-a3b1-f5141e031651;michela e marcello;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251920;datatv;;;;;3;2;sky;;SCHED;;
17/06/19 14:56;2ac4f3d5-b901-4243-a3b1-f5141e031651;mollo tutto cambio vita - bali ep3;mollo tutto cambio vita - bali s.2;t;1;32851101;ibms;2018;Tiziana Martinengo;;;3;2;sky;;SCHED;;
05/01/21 12:08;2ac4f3d5-b901-4243-a3b1-f5141e031651;Mollo Tutto Cambio Vita - Bali S.2 - Stag. 2 Ep. 3 - Mollo Tutto Cambio Vita - Bali S.2 Ep.03;Mollo tutto cambio vita;t;1;;;2018;;;;3;2;sky;2f8dcf89-f4f9-4186-a11f-11583c2b0b54;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
03/05/18 12:33;2ccf5f6d-5731-4d09-8720-a66da8a758e8;mollo tutto cambio vita s.1 ep.06;mollo tutto cambio vita s.1;t;0;30076512;ibms;2018;T.Martinengo;;;6;1;sky;;SCHED;;
17/05/18 12:03;2ccf5f6d-5731-4d09-8720-a66da8a758e8;ep. 6;mollo tutto e cambio vita;t;4;datatv_p230883e1180688;datatv;2018;;30076512;ibms;6;1;sky;;ENRICH;;
01/08/18 09:06;2ccf5f6d-5731-4d09-8720-a66da8a758e8;mollo tutto cambio vita s.1 ep.06;mollo tutto cambio vita s.1;t;1;30076512;ibms;2018;T.Martinengo;;;6;1;sky;;SCHED;;
07/08/18 14:42;2ccf5f6d-5731-4d09-8720-a66da8a758e8;alessio e laura;mollo tutto e cambio vita;t;4;datatv_p230883e1180688;datatv;;;;;6;1;sky;;SCHED;;
31/05/19 17:11;2ccf5f6d-5731-4d09-8720-a66da8a758e8;alessio e laura;mollo tutto cambio vita;t;4;datatv_p230883e1180688;datatv;2018;;30076512;ibms;6;1;sky;;ENRICH;;
13/01/21 13:38;2ccf5f6d-5731-4d09-8720-a66da8a758e8;Alessio e Laura;Mollo tutto cambio vita;t;4;;;2018;;;;6;1;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Alessio e Laura[[ALT]]Alessio e Laura[[ALT]]Alessio e Laura
06/06/19 20:36;2f8dcf89-f4f9-4186-a11f-11583c2b0b54;michela e marcello;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251920;datatv;;;;;3;2;sky;;SCHED;;
05/01/21 17:37;2f8dcf89-f4f9-4186-a11f-11583c2b0b54;Michela e Marcello;Mollo tutto cambio vita;t;4;;;2018;;;;3;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Michela e Marcello[[ALT]]Michela e Marcello[[ALT]]Michela e Marcello
03/05/18 12:31;353cbc51-82b4-4f6a-ac21-7d6d2b840aac;mollo tutto cambio vita s.1 ep.03;mollo tutto cambio vita s.1;t;0;30076509;ibms;2018;T.Martinengo;;;3;1;sky;;SCHED;;
17/05/18 12:02;353cbc51-82b4-4f6a-ac21-7d6d2b840aac;ep. 3;mollo tutto e cambio vita;t;4;datatv_p230883e1180685;datatv;2018;;30076509;ibms;3;1;sky;;ENRICH;;
30/07/18 07:41;353cbc51-82b4-4f6a-ac21-7d6d2b840aac;fedra;mollo tutto e cambio vita;t;4;datatv_p230883e1180685;datatv;;;;;3;1;sky;;SCHED;;
01/08/18 09:05;353cbc51-82b4-4f6a-ac21-7d6d2b840aac;mollo tutto cambio vita s.1 ep.03;mollo tutto cambio vita s.1;t;1;30076509;ibms;2018;T.Martinengo;;;3;1;sky;;SCHED;;
30/05/19 13:56;353cbc51-82b4-4f6a-ac21-7d6d2b840aac;Mollo Tutto Cambio Vita S.1 - Stag. 1 Ep. 3 - Mollo Tutto Cambio Vita S.1 Ep.03;Mollo tutto cambio vita;t;1;;;2018;;;;3;1;sky;84951545-7c4b-4681-acf4-e7be9848965e;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
30/05/19 20:33;4127b880-d6e9-44da-ba57-fc4c6c026284;;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251919;datatv;;;;;2;2;sky;;SCHED;;
05/01/21 17:37;4127b880-d6e9-44da-ba57-fc4c6c026284;Silvia e Nicola;Mollo tutto cambio vita;t;4;;;2018;;;;2;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Silvia e Nicola[[ALT]]Silvia e Nicola[[ALT]]Silvia e Nicola
30/05/19 20:33;4a53af0d-cd44-4094-a803-b575f056019b;;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251918;datatv;;;;;1;2;sky;;SCHED;;
05/01/21 17:37;4a53af0d-cd44-4094-a803-b575f056019b;Ilios e Sara;Mollo tutto cambio vita;t;4;;;2018;;;;1;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Ilios e Sara[[ALT]]Ilios e Sara[[ALT]]Ilios e Sara
25/05/18 07:49;58f409eb-b55d-43a3-9f99-d165dfbd0178;mollo tutto cambio vita s.1 ep.08 - best of 2;mollo tutto cambio vita s.1;t;0;30076514;ibms;2018;T.Martinengo;;;8;1;sky;;SCHED;;
06/06/18 16:46;58f409eb-b55d-43a3-9f99-d165dfbd0178;best of. 2a parte;mollo tutto e cambio vita;t;4;datatv_p230883e1180714;datatv;2018;;30076514;ibms;8;1;sky;;ENRICH;;
01/08/18 09:08;58f409eb-b55d-43a3-9f99-d165dfbd0178;mollo tutto cambio vita s.1 ep.08 - best of 2;mollo tutto cambio vita s.1;t;1;30076514;ibms;2018;T.Martinengo;;;8;1;sky;;SCHED;;
24/05/19 07:19;58f409eb-b55d-43a3-9f99-d165dfbd0178;best of. 2a parte;mollo tutto cambio vita;t;4;datatv_p230883e1180714;datatv;;;;;;1;sky;;SCHED;;
31/05/19 01:19;58f409eb-b55d-43a3-9f99-d165dfbd0178;Mollo tutto cambio vita - Stag. 1 - Best of. 2a parte;Mollo tutto cambio vita;t;4;;;2018;;;;8;1;sky;a406af41-a49f-49c7-bafa-01543dd3193a;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
17/05/18 13:10;599964f9-b6b0-4420-95e1-bea433b9ac43;best of. 1a parte;mollo tutto e cambio vita;t;4;datatv_p230883e1180713;datatv;;;;;;1;sky;;SCHED;;
29/05/18 16:15;599964f9-b6b0-4420-95e1-bea433b9ac43;best of. 1a parte;mollo tutto e cambio vita;t;4;datatv_p230883e1180713;datatv;2018;;;;0;1;sky;;ENRICH;;
31/05/19 17:14;599964f9-b6b0-4420-95e1-bea433b9ac43;best of. 1a parte;mollo tutto cambio vita;t;4;datatv_p230883e1180713;datatv;2018;;30076513;ibms;0;1;sky;;ENRICH;;
31/05/19 17:16;599964f9-b6b0-4420-95e1-bea433b9ac43;best of. 1a parte;mollo tutto cambio vita;t;4;datatv_p230883e1180713;datatv;2018;;30076513;ibms;7;1;sky;;ENRICH;;
13/05/20 10:49;599964f9-b6b0-4420-95e1-bea433b9ac43;mollo tutto cambio vita s.1 ep.07 - best of 1;mollo tutto cambio vita s.1;t;1;30076513;ibms;2018;T.Martinengo;;;7;1;sky;;SCHED;;
13/01/21 13:38;599964f9-b6b0-4420-95e1-bea433b9ac43;Best of. 1a parte;Mollo tutto cambio vita;t;4;;;2018;;;;7;1;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Best of. 1a parte[[ALT]]Best of. 1a parte[[ALT]]Best of. 1a parte
21/06/19 20:12;5cf704db-8ab7-43b0-85e7-6ae6c535b954;best of. 1a parte;mollo tutto cambio vita - bali;t;4;datatv_p241534e1252329;datatv;;;;;7;2;sky;;SCHED;;
24/06/19 10:44;5cf704db-8ab7-43b0-85e7-6ae6c535b954;best of. 1a parte;mollo tutto cambio vita;t;4;datatv_p241534e1252329;datatv;2018;;32851105;ibms;7;2;sky;;ENRICH;;
25/06/19 06:02;5cf704db-8ab7-43b0-85e7-6ae6c535b954;mollo tutto cambio vita - bali s.2 ep.07 - best of 1;mollo tutto cambio vita - bali s.2;t;1;32851105;ibms;2018;T. Martinengo;;;7;2018;sky;;SCHED;;
01/07/19 08:59;5cf704db-8ab7-43b0-85e7-6ae6c535b954;mollo tutto cambio vita - bali s.2 ep.07 - best of 1;mollo tutto cambio vita - bali s.2;t;1;32851105;ibms;2018;T.Martinengo;;;7;2;sky;;SCHED;;
01/07/19 16:16;5cf704db-8ab7-43b0-85e7-6ae6c535b954;mollo tutto cambio vita - bali ep7;mollo tutto cambio vita - bali s.2;t;1;32851105;ibms;2018;Tiziana Martinengo;;;7;2;sky;;SCHED;;
05/01/21 17:37;5cf704db-8ab7-43b0-85e7-6ae6c535b954;Best of. 1a parte;Mollo tutto cambio vita;t;4;;;2018;;;;7;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Best of. 1a parte[[ALT]]Best of. 1a parte[[ALT]]Best of. 1a parte
02/05/18 17:14;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;;mollo tutto cambio vita;t;1;datatv_p230883e1180020;datatv;;;;;2;;sky;;SCHED;;
07/05/18 15:46;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;;mollo tutto e cambio vita;t;4;datatv_p230883e1180020;datatv;;;;;2;1;sky;;SCHED;;
07/05/18 16:55;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;ep. 2;mollo tutto e cambio vita;t;4;datatv_p230883e1180020;datatv;2018;;;;2;1;sky;;ENRICH;;
10/05/18 08:24;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;ep. 2;mollo tutto e cambio vita;t;4;datatv_p230883e1180020;datatv;2018;;30076508;ibms;2;1;sky;;ENRICH;;
24/07/18 12:57;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;aldo e roberta;mollo tutto e cambio vita;t;4;datatv_p230883e1180020;datatv;;;;;2;1;sky;;SCHED;;
01/08/18 09:05;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;mollo tutto cambio vita s.1 ep.02;mollo tutto cambio vita s.1;t;1;30076508;ibms;2018;T.Martinengo;;;2;1;sky;;SCHED;;
31/05/19 17:06;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;aldo e roberta;mollo tutto cambio vita;t;4;datatv_p230883e1180020;datatv;2018;;30076508;ibms;2;1;sky;;ENRICH;;
13/01/21 13:37;5f9a0340-1582-45ee-9ff5-bc79f1b0b884;Aldo e Roberta;Mollo tutto cambio vita;t;4;;;2018;;;;2;1;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Aldo e Roberta[[ALT]]Aldo e Roberta[[ALT]]Aldo e Roberta
21/05/19 23:48;615acd75-69c0-4604-9c2b-8f229d8caab9;;mollo tutto cambio vita - bali s.2 ep.02;t;1;32851100;ibms;;;;;;;sky;;IBMS;;
23/05/19 14:44;615acd75-69c0-4604-9c2b-8f229d8caab9;mollo tutto cambio vita - bali s.2 ep.02;mollo tutto cambio vita - bali s.2;t;1;32851100;ibms;2018;T.Martinengo;;;2;2;sky;;SCHED;;
30/05/19 06:02;615acd75-69c0-4604-9c2b-8f229d8caab9;mollo tutto cambio vita - bali s.2 ep.02;mollo tutto cambio vita - bali s.2;t;1;32851100;ibms;2018;T. Martinengo;;;2;2018;sky;;SCHED;;
31/05/19 17:19;615acd75-69c0-4604-9c2b-8f229d8caab9;silvia e nicola;mollo tutto cambio vita;t;4;datatv_p241534e1251919;datatv;2018;;32851100;ibms;2;2;sky;;ENRICH;;
03/06/19 18:54;615acd75-69c0-4604-9c2b-8f229d8caab9;;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251919;datatv;;;;;2;2;sky;;SCHED;;
04/06/19 06:14;615acd75-69c0-4604-9c2b-8f229d8caab9;silvia e nicola;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251919;datatv;;;;;2;2;sky;;SCHED;;
05/06/19 14:36;615acd75-69c0-4604-9c2b-8f229d8caab9;mollo tutto cambio vita - bali ep2;mollo tutto cambio vita - bali s.2;t;1;32851100;ibms;2018;Tiziana Martinengo;;;2;2;sky;;SCHED;;
05/01/21 12:08;615acd75-69c0-4604-9c2b-8f229d8caab9;Mollo Tutto Cambio Vita - Bali S.2 - Stag. 2 Ep. 2 - Mollo Tutto Cambio Vita - Bali S.2 Ep.02;Mollo tutto cambio vita;t;1;;;2018;;;;2;2;sky;4127b880-d6e9-44da-ba57-fc4c6c026284;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
03/05/18 12:31;6aba1a67-bd5e-4694-8679-949f27a4b97f;mollo tutto cambio vita s.1 ep.04;mollo tutto cambio vita s.1;t;0;30076510;ibms;2018;T.Martinengo;;;4;1;sky;;SCHED;;
17/05/18 12:02;6aba1a67-bd5e-4694-8679-949f27a4b97f;ep. 4;mollo tutto e cambio vita;t;4;datatv_p230883e1180686;datatv;2018;;30076510;ibms;4;1;sky;;ENRICH;;
30/07/18 07:41;6aba1a67-bd5e-4694-8679-949f27a4b97f;guido e francesca;mollo tutto e cambio vita;t;4;datatv_p230883e1180686;datatv;;;;;4;1;sky;;SCHED;;
01/08/18 09:04;6aba1a67-bd5e-4694-8679-949f27a4b97f;mollo tutto cambio vita s.1 ep.04;mollo tutto cambio vita s.1;t;1;30076510;ibms;2018;T.Martinengo;;;4;1;sky;;SCHED;;
30/05/19 13:56;6aba1a67-bd5e-4694-8679-949f27a4b97f;Mollo Tutto Cambio Vita S.1 - Stag. 1 Ep. 4 - Mollo Tutto Cambio Vita S.1 Ep.04;Mollo tutto cambio vita;t;1;;;2018;;;;4;1;sky;8fcd8004-15a6-4c17-ab18-a88bfa0d3f35;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
23/05/19 14:43;739f5b22-b032-444f-b016-b1931b08b893;mollo tutto cambio vita - bali s.2 ep.06;mollo tutto cambio vita - bali s.2;t;1;32851104;ibms;2018;T.Martinengo;;;6;2;sky;;SCHED;;
11/06/19 15:52;739f5b22-b032-444f-b016-b1931b08b893;gabriele e matteo;mollo tutto cambio vita;t;4;datatv_p241534e1251923;datatv;2018;;32851104;ibms;6;2;sky;;ENRICH;;
17/06/19 21:21;739f5b22-b032-444f-b016-b1931b08b893;gabriele e matteo;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251923;datatv;;;;;6;2;sky;;SCHED;;
24/06/19 16:01;739f5b22-b032-444f-b016-b1931b08b893;mollo tutto cambio vita - bali s.2 ep.06;mollo tutto cambio vita - bali s.2;t;1;32851104;ibms;2018;T. Martinengo;;;6;2018;sky;;SCHED;;
24/06/19 16:12;739f5b22-b032-444f-b016-b1931b08b893;mollo tutto cambio vita - bali ep6;mollo tutto cambio vita - bali s.2;t;1;32851104;ibms;2018;Tiziana Martinengo;;;6;2;sky;;SCHED;;
05/01/21 17:37;739f5b22-b032-444f-b016-b1931b08b893;Gabriele e Matteo;Mollo tutto cambio vita;t;4;;;2018;;;;6;2;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Gabriele e Matteo[[ALT]]Gabriele e Matteo[[ALT]]Gabriele e Matteo
15/05/18 11:02;84951545-7c4b-4681-acf4-e7be9848965e;;mollo tutto e cambio vita;t;4;datatv_p230883e1180685;datatv;;;;;3;1;sky;;SCHED;;
15/05/18 13:22;84951545-7c4b-4681-acf4-e7be9848965e;ep. 3;mollo tutto e cambio vita;t;4;datatv_p230883e1180685;datatv;2018;;;;3;1;sky;;ENRICH;;
31/05/19 17:08;84951545-7c4b-4681-acf4-e7be9848965e;fedra;mollo tutto cambio vita;t;4;datatv_p230883e1180685;datatv;2018;;30076509;ibms;3;1;sky;;ENRICH;;
13/05/20 10:51;84951545-7c4b-4681-acf4-e7be9848965e;mollo tutto cambio vita s.1 ep.03;mollo tutto cambio vita s.1;t;1;30076509;ibms;2018;T.Martinengo;;;3;1;sky;;SCHED;;
13/01/21 13:37;84951545-7c4b-4681-acf4-e7be9848965e;Fedra;Mollo tutto cambio vita;t;4;;;2018;;;;3;1;sky;;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;[[ALT]]Fedra[[ALT]]Fedra[[ALT]]Fedra
21/05/19 23:48;87c866eb-de5e-4ec7-938e-6685701d89bf;;mollo tutto cambio vita - bali s.2 ep.01;t;1;32851099;ibms;;;;;;;sky;;IBMS;;
23/05/19 14:43;87c866eb-de5e-4ec7-938e-6685701d89bf;mollo tutto cambio vita - bali s.2 ep.01;mollo tutto cambio vita - bali s.2;t;1;32851099;ibms;2018;T.Martinengo;;;1;2;sky;;SCHED;;
30/05/19 06:02;87c866eb-de5e-4ec7-938e-6685701d89bf;mollo tutto cambio vita - bali s.2 ep.01;mollo tutto cambio vita - bali s.2;t;1;32851099;ibms;2018;T. Martinengo;;;1;2018;sky;;SCHED;;
31/05/19 17:18;87c866eb-de5e-4ec7-938e-6685701d89bf;ilios e sara;mollo tutto cambio vita;t;4;datatv_p241534e1251918;datatv;2018;;32851099;ibms;1;2;sky;;ENRICH;;
03/06/19 18:54;87c866eb-de5e-4ec7-938e-6685701d89bf;;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251918;datatv;;;;;1;2;sky;;SCHED;;
04/06/19 06:14;87c866eb-de5e-4ec7-938e-6685701d89bf;ilios e sara;mollo tutto cambio vita - bali;t;4;datatv_p241534e1251918;datatv;;;;;1;2;sky;;SCHED;;
05/06/19 14:36;87c866eb-de5e-4ec7-938e-6685701d89bf;mollo tutto cambio vita - bali ep1;mollo tutto cambio vita - bali s.2;t;1;32851099;ibms;2018;Tiziana Martinengo;;;1;2;sky;;SCHED;;
05/01/21 12:08;87c866eb-de5e-4ec7-938e-6685701d89bf;Mollo Tutto Cambio Vita - Bali S.2 - Stag. 2 Ep. 1 - Mollo Tutto Cambio Vita - Bali S.2 Ep.01;Mollo tutto cambio vita;t;1;;;2018;;;;1;2;sky;4a53af0d-cd44-4094-a803-b575f056019b;FINALIZED;f95816bd-fdac-4f4c-b7d3-f2e1665394ab;
